"","003PND","005PND","007NC","008NC","01PND","02PND","06DO"
"003PND",0,0.991031390134529,0.994444444444444,0.985611510791367,0.993827160493827,1,1
"005PND",0.991031390134529,0,1,1,1,1,1
"007NC",0.994444444444444,1,0,0.984126984126984,0.925,0.903614457831325,0.870967741935484
"008NC",0.985611510791367,1,0.984126984126984,0,1,1,1
"01PND",0.993827160493827,1,0.925,1,0,0.91044776119403,0.869565217391304
"02PND",1,1,0.903614457831325,1,0.91044776119403,0,0.86
"06DO",1,1,0.870967741935484,1,0.869565217391304,0.86,0
